Grupo Planificación,ID Equipo,Prioridad,Clase Aviso,Aviso,Descripción del Aviso,Código Aviso,Orden,Puesto Trabajo Responsable,Estado Sistema,Estado Usuario,Autor Aviso,Fecha Aviso,Inicio Deseado,Fin Deseado,Código Estado Aviso
PAL,PD402,2,Z1,11173082,REPARACIÓN SIST. GUIADOR CABLE REEL,02,7110862,MECPAL01,METR ORAS,PLAN,JSUCLLA,18-dic-21,25-dic-21,26-dic-21,PLAN
PAL,PD401,3,Z1,11178679,Actualizacion Componentes Upgrade,01,7113425,MECPAL01,METR ORAS,PLAN,RCRUZ,03-mar-22,03-abr-22,04-abr-22,PLAN
PAL,PD402,3,Z1,11179148,Actualizacion Componentes Upgrade,01,7113678,MECPAL01,METR ORAS,PLAN,RCRUZ,07-mar-22,07-abr-22,08-abr-22,PLAN
PAL,PD101,3,Z1,11179474,Actualizacion Componentes Upgrade,01,7113826,MECPAL01,METR ORAS,PLAN,RCRUZ,11-mar-22,11-abr-22,12-abr-22,PLAN
PAL,PD102,3,Z1,11179476,Actualizacion Componentes Upgrade,01,7113828,MECPAL01,METR ORAS,PLAN,RCRUZ,11-mar-22,11-abr-22,12-abr-22,PLAN
PAL,PD103,3,Z1,11180048,Actualizacion Componentes Upgrade,01,7114151,MECPAL01,METR ORAS,PLAN,RCRUZ,17-mar-22,17-abr-22,18-abr-22,PLAN
PAL,PD401,2,Z1,11183875,INSTALAR  PERSIANAS DE CABINA,02,7116167,MECPAL01,METR ORAS,PLAN,JSUCLLA,30-abr-22,07-may-22,08-may-22,PLAN
PAL,PD401,2,Z1,11183878,CAMBIO DE SELLOS SALA DE MAQUINAS,02,7116170,MECPAL01,METR ORAS,PLAN,JSUCLLA,30-abr-22,07-may-22,08-may-22,PLAN
PAL,PD402,2,Z1,11183888,CAMB. EMPAQUE TANQUE DE GRASA,02,7116174,MECPAL01,METR ORAS,PLAN,JSUCLLA,30-abr-22,07-may-22,08-may-22,PLAN
PAL,PD402,2,Z1,11183907,CAMBIO DE RODILLOS DE GUIADOR CABLE REEL,02,7116186,MECPAL01,METR ORAS,PLAN,JSUCLLA,30-abr-22,07-may-22,08-may-22,PLAN
PAL,PD301,1,Z1,11186217,Cambio de radiador,02,7117525,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,25-may-22,25-may-22,26-may-22,PLAN
PAL,PD402,1,Z1,11190026,CAMBIO DE VALVULA CHECK DE COMPRESOR,02,7119492,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,03-jul-22,03-jul-22,04-jul-22,PLAN
PAL,PD101,1,Z1,11191300,Cambio de guiador de cable,02,7120227,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,17-jul-22,17-jul-22,18-jul-22,PLAN
PAL,PD102,1,Z1,11191301,Cambio de guiador de cable,02,7120231,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,17-jul-22,17-jul-22,18-jul-22,PLAN
PAL,PD102,1,Z1,11194980,Cambio soporte llave quiebre,02,7122221,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,30-ago-22,30-ago-22,31-ago-22,PLAN
PAL,PD302,1,Z1,11198566,"CAMBIO ALMOHADILLA,JACKCAST,26"" TRASERO",02,7124235,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,09-oct-22,09-oct-22,10-oct-22,PLAN
PAL,PD402,1,Z1,11198567,CAMBIO DE BLOCK DE VÁLVULA,02,7124236,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,09-oct-22,09-oct-22,10-oct-22,PLAN
PAL,PD103,1,Z1,11198568,CAMBIO DE PERNOS DE SOPORTE DE COLECTOR,02,7124237,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,09-oct-22,09-oct-22,10-oct-22,PLAN
PAL,PD103,2,Z1,11198726,Cambio de Componentes del Sistema HVAC,02,7127101,TEC_AC,METR ORAS,PLAN,RDIAZ,11-oct-22,11-oct-22,,PLAN
PAL,PD301,1,Z1,11199854,CAMBIO CONJUNTO CILINDRO ROD SUPPORT,02,7124904,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,23-oct-22,23-oct-22,24-oct-22,PLAN
PAL,PD301,1,Z1,11201010,CAMBIO DE VIDRIOS Y GRECAS DE PUERTA,02,7125625,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,04-nov-22,04-nov-22,05-nov-22,PLAN
PAL,PD402,1,Z1,11201054,REPARACIÓN FISURA SOPORTE EJE CARRUSEL,02,7125644,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,05-nov-22,05-nov-22,06-nov-22,PLAN
PAL,PD402,1,Z1,11201056,REP FISUR SOPORT SUP CARRO PERFORACION,02,7125645,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,05-nov-22,05-nov-22,06-nov-22,PLAN
PAL,PD402,1,Z1,11201057,REP FISUR BASE CABLE PROTEC CAIDA BARRAS,02,7125646,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,05-nov-22,05-nov-22,06-nov-22,PLAN
PAL,PD402,1,Z1,11201058,REPARACIÓN DE FISURA EN SHOCK ABSORBER,02,7125647,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,05-nov-22,05-nov-22,06-nov-22,PLAN
PAL,PD402,1,Z1,11201059,REP FISUR SOLDADUR SEGURO STRUP RH Y LH,02,7125648,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,05-nov-22,05-nov-22,06-nov-22,PLAN
PAL,PD101,2,Z1,11201192,Cambio total componentes A/C,02,7125712,MECPAL01,METR ORAS,PLAN,RSALAZAR,06-nov-22,13-nov-22,14-nov-22,PLAN
PAL,PD102,2,Z1,11201193,Cambio total componentes A/C,02,7125713,MECPAL01,METR ORAS,PLAN,RSALAZAR,06-nov-22,13-nov-22,14-nov-22,PLAN
PAL,PD401,2,Z1,11202198,KIT DE MANOMETROS X EVALUACION,02,7126295,MECPAL01,METR ORAS,PLAN,JPAREDES,16-nov-22,23-nov-22,24-nov-22,PLAN
PAL,PD302,1,Z1,11202805,CAMBIO BAQUEL CENTRALIZ CAB ROTACION,02,7126605,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,22-nov-22,22-nov-22,23-nov-22,PLAN
PAL,PD102,1,Z1,11202816,CAMBIO DE VÁLVULA DE SEGURIDAD,02,7126618,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,22-nov-22,22-nov-22,23-nov-22,PLAN
PAL,PD102,1,Z1,11202820,CAMBIO VIDRIO PUERTA ACCESO LATERAL CABI,02,7126622,MECPAL01,METR ORAS,PLAN,JULIOAGUIRRE,22-nov-22,22-nov-22,23-nov-22,PLAN
PAL,PD401,2,Z1,11202962,CBO PLUMILLA SUP X DESGASTE,02,7126691,MECPAL01,METR ORAS,PLAN,JPAREDES,24-nov-22,01-dic-22,02-dic-22,PLAN
PAL,PD101,2,Z1,11202965,REGULAC CABEZAL X DESGASTE,02,7126692,MECPAL01,METR ORAS,PLAN,JPAREDES,24-nov-22,01-dic-22,02-dic-22,PLAN
PAL,PD401,2,Z1,11202972,CBO BBA AGUA COMPLETA X FALLA,02,7126695,MECPAL01,METR ORAS,PLAN,JPAREDES,24-nov-22,01-dic-22,02-dic-22,PLAN
