Grupo Planificación,ID Equipo,Prioridad,Clase Orden,Plan Orden,Orden,Descripción de la Orden,Puesto Trabajo Responsable,Estado Sistema Orden,Estado Usuario Orden,Autor Orden,Fecha Orden,Fecha Inicion Extremo,Inicio Programado,Inicio Real,Modificado por,Fecha Modificación,Código Estado Sistema,Código Estado Usuario,Estado Sistema,Estado Orden
PAL,PD402,2,ZM01,,7110862,REPARACIÓN SIST. GUIADOR CABLE REEL,MECPAL01,LIB. DMNV EDET NLIQ PREC,PROG SPCD,SSANCHEZ,18-dic-21,15-may-23,15-may-23,,UGPMCARGUI01,20-feb-24,LIB.,PROG,ABIE,PROG
PAL,PD401,3,ZM01,,7113425,Actualizacion Componentes Upgrade,MECPAL01,LIB. DMNV KKMP NLIQ PREC,PLAN,RCRUZ,03-mar-22,07-mar-24,07-mar-24,,UGPMMAININ08,25-feb-24,LIB.,PLAN,ABIE,PLAN
PAL,PD402,3,ZM01,,7113678,Actualizacion Componentes Upgrade,MINEXT01,LIB. DMNV KKMP NLIQ PREC,PLAN,RCRUZ,07-mar-22,30-abr-23,30-abr-23,,YMORALES,12-oct-23,LIB.,PLAN,ABIE,PLAN
PAL,PD101,3,ZM01,,7113826,Actualizacion Componentes Upgrade,MECPAL01,LIB. DMNV KKMP NLIQ PREC,PLAN,RCRUZ,11-mar-22,31-ene-23,14-mar-24,,MBERROSPI,14-mar-24,LIB.,PLAN,ABIE,PLAN
PAL,PD102,3,ZM01,,7113828,Actualizacion Componentes Upgrade,MINEXT01,LIB. DMNV KKMP NLIQ PREC,PLAN SPCD,RCRUZ,11-mar-22,30-abr-23,30-abr-23,,MBERROSPI,14-mar-24,LIB.,PLAN,ABIE,PLAN
PAL,PD103,3,ZM01,,7114151,Actualizacion Componentes Upgrade,MECPAL01,LIB. DMNV KKMP NLIQ PREC,PLAN,RCRUZ,17-mar-22,04-may-23,04-may-23,,MBERROSPI,14-mar-24,LIB.,PLAN,ABIE,PLAN
PAL,PD401,2,ZM01,,7116167,INSTALAR  PERSIANAS DE CABINA,MECPAL01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,SSANCHEZ,30-abr-22,15-abr-24,15-abr-24,,UGPMCONFSU02,03-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7116170,CAMBIO DE SELLOS SALA DE MAQUINAS,MECPAL01,ABIE DMNV FENA KKMP PREC,CANC SPCD,SSANCHEZ,30-abr-22,30-abr-23,,,FNINA,02-mar-24,ABIE,CANC,ABIE,CANC
PAL,PD402,2,ZM01,,7116174,CAMB. EMPAQUE TANQUE DE GRASA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,SSANCHEZ,30-abr-22,30-abr-23,30-abr-23,,YMORALES,12-oct-23,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7116186,CAMBIO DE RODILLOS DE GUIADOR CABLE REEL,MECPAL01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,SSANCHEZ,30-abr-22,21-oct-24,21-oct-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
